Time,AAPL,SP500,rf
1/31/07,85.36,1438.24,4.97
2/28/07,84.25,1406.82,4.99
3/30/07,92.51,1420.86,4.89
4/30/07,99.37,1482.37,4.72
5/31/07,120.67,1530.62,4.59
6/29/07,121.52,1503.35,4.67
7/31/07,131.2,1455.27,4.81
8/31/07,137.89,1473.99,3.99
9/28/07,152.81,1526.75,3.7
10/31/07,189.14,1549.38,3.82
11/30/07,181.44,1481.14,3.07
12/31/07,197.23,1468.36,3.14
1/31/08,134.78,1378.55,1.87
2/29/08,124.49,1330.63,1.78
3/31/08,142.89,1322.7,1.27
4/30/08,173.21,1385.59,1.34
5/30/08,187.94,1400.38,1.85
6/30/08,166.72,1280,1.71
7/31/08,158.27,1267.38,1.63
8/29/08,168.81,1282.83,1.69
9/30/08,113.17,1166.36,0.9
10/31/08,107.13,968.75,0.44
11/28/08,92.27,896.24,0.02
12/31/08,84.99,903.25,0.12
1/30/09,89.74,825.88,0.22
2/27/09,88.93,735.09,0.25
3/31/09,104.67,797.87,0.2
4/30/09,125.29,872.81,0.12
5/29/09,135.23,919.14,0.13
6/30/09,141.82,919.32,0.18
7/31/09,162.69,987.48,0.17
8/31/09,167.49,1020.62,0.13
9/30/09,184.56,1057.08,0.12
10/30/09,187.69,1036.19,0.05
11/30/09,199.06,1095.63,0.05
12/31/09,209.83,1115.1,0.05
1/29/10,191.24,1073.87,0.07
2/26/10,203.75,1104.49,0.12
3/31/10,234,1169.43,0.15
4/30/10,259.97,1186.69,0.16
5/28/10,255.78,1089.41,0.15
6/30/10,250.45,1030.71,0.17
7/30/10,256.15,1101.6,0.14
8/31/10,242.06,1049.33,0.14
9/30/10,282.54,1141.2,0.16
10/29/10,299.69,1183.26,0.11
11/30/10,309.82,1180.55,0.16
12/31/10,321.18,1257.64,0.12
1/31/11,337.87,1286.12,0.14
2/28/11,351.7,1327.22,0.14
3/31/11,347.02,1325.83,0.09
4/29/11,348.63,1363.61,0.04
5/31/11,346.34,1345.2,0.04
6/30/11,334.23,1320.64,0.01
7/29/11,388.81,1292.28,0.09
8/31/11,383.18,1218.89,0.01
9/30/11,379.69,1131.42,0.01
10/31/11,403.05,1253.3,0
11/30/11,380.57,1246.96,0.01
12/30/11,403.27,1257.6,0